"predictor","name","sel_freq"
24,"NightTemp_Re0",200
47,"birth_rate",197
29,"NightTemp_Im0",189
18,"MIR_const_term",179
40,"RFE_Im1",177
25,"RFE_Re0",176
32,"EVI_Re1",171
46,"log_pop_den",171
15,"altitude",168
21,"DayTemp_Re0",165
31,"DayTemp_Re1",164
23,"MIR_Re0",160
30,"RFE_Im0",154
36,"DayTemp_Im1",154
16,"DayTemp_const_term",152
38,"MIR_Im1",150
37,"EVI_Im1",140
35,"RFE_Re1",136
19,"NightTemp_const_term",133
27,"EVI_Im0",129
33,"MIR_Re1",129
34,"NightTemp_Re1",124
22,"EVI_Re0",110
39,"NightTemp_Im1",94
26,"DayTemp_Im0",89
28,"MIR_Im0",89
17,"EVI_const_term",56
20,"RFE_const_term",44
